JP1,HOKKAIDO JAPAN,北海道
JP2,AOMORI JAPAN,青森
JP3,IWATE JAPAN,岩手
JP4,MIYAGI JAPAN,宮城
JP5,AKITA JAPAN,秋田
JP6,YAMAGATA JAPAN,山形
JP7,FUKUSHIMA JAPAN,福島
JP8,IBARAKI JAPAN,茨城
JP9,TOCHIGI JAPAN,栃木
JP10,GUNMA JAPAN,群馬
JP11,SAITAMA JAPAN,埼玉
JP12,CHIBA JAPAN,千葉
JP13,TOKYO JAPAN,東京
JP14,KANAGAWA JAPAN,神奈川
JP15,NIIGATA JAPAN,新潟
JP16,TOYAMA JAPAN,富山
JP17,ISHIKAWA JAPAN,石川
JP18,FUKUI JAPAN,福井
JP19,YAMANASHI JAPAN,山梨
JP20,NAGANO JAPAN,長野
JP21,GIFU JAPAN,岐阜
JP22,SHIZUOKA JAPAN,静岡
JP23,AICHI JAPAN,愛知
JP24,MIE JAPAN,三重
JP25,SHIGA JAPAN,滋賀
JP26,KYOTO JAPAN,京都
JP27,OSAKA JAPAN,大阪
JP28,HYOGO JAPAN,兵庫
JP29,NARA JAPAN,奈良
JP30,WAKAYAMA JAPAN,和歌山
JP31,TOTTORI JAPAN,鳥取
JP32,SHIMANE JAPAN,島根
JP33,OKAYAMA JAPAN,岡山
JP34,HIROSHIMA JAPAN,広島
JP35,YAMAGUCHI JAPAN,山口
JP36,TOKUSHIMA JAPAN,徳島
JP37,KAGAWA JAPAN,香川
JP38,EHIME JAPAN,愛媛
JP39,KOUCHI JAPAN,高知
JP40,FUKUOKA JAPAN,福岡
JP41,SAGA JAPAN,佐賀
JP42,NAGASAKI JAPAN,長崎
JP43,KUMAMOTO JAPAN,熊本
JP44,OHITA JAPAN,大分
JP45,MIYAZAKI JAPAN,宮崎
JP46,KAGOSHIMA JAPAN,鹿児島
JP47,OKINAWA JAPAN,沖縄
